train,val,test
normal_001,normal_126,test_104
normal_002,normal_013,test_083
normal_003,normal_056,test_096
normal_004,normal_059,test_094
normal_005,normal_054,test_084
normal_007,normal_006,test_106
normal_008,normal_046,test_079
normal_009,normal_050,test_109
normal_010,normal_034,test_057
normal_011,normal_040,test_012
normal_012,normal_154,test_053
normal_014,normal_085,test_121
normal_015,normal_100,test_038
normal_016,normal_057,test_046
normal_017,normal_041,test_098
normal_018,normal_073,test_009
normal_019,tumor_071,test_125
normal_020,tumor_024,test_007
normal_021,tumor_023,test_089
normal_022,tumor_026,test_054
normal_023,tumor_040,test_036
normal_024,tumor_054,test_043
normal_025,tumor_044,test_017
normal_026,tumor_049,test_016
normal_027,tumor_059,test_033
normal_028,tumor_096,test_061
normal_029,tumor_009,test_058
normal_030,,test_095
normal_032,,test_014
normal_035,,test_110
normal_037,,test_031
normal_038,,test_003
normal_039,,test_059
normal_042,,test_117
normal_044,,test_047
normal_045,,test_082
normal_047,,test_093
normal_048,,test_091
normal_049,,test_029
normal_052,,test_019
normal_053,,test_072
normal_055,,test_122
normal_058,,test_006
normal_061,,test_052
normal_062,,test_076
normal_063,,test_103
normal_064,,test_028
normal_066,,test_086
normal_067,,test_090
normal_068,,test_074
normal_069,,test_099
normal_070,,test_129
normal_071,,test_070
normal_072,,test_008
normal_074,,test_105
normal_075,,test_119
normal_076,,test_035
normal_079,,test_037
normal_080,,test_002
normal_081,,test_024
normal_082,,test_018
normal_084,,test_060
normal_087,,test_078
normal_088,,test_034
normal_089,,test_023
normal_090,,test_127
normal_091,,test_001
normal_092,,test_004
normal_093,,test_042
normal_094,,test_075
normal_095,,test_066
normal_096,,test_118
normal_097,,test_056
normal_098,,test_116
normal_099,,test_015
normal_101,,test_048
normal_102,,test_071
normal_103,,test_051
normal_104,,test_067
normal_105,,test_100
normal_106,,test_114
normal_108,,test_097
normal_109,,test_081
normal_110,,test_032
normal_111,,test_092
normal_112,,test_108
normal_113,,test_062
normal_114,,test_120
normal_115,,test_073
normal_116,,test_102
normal_117,,test_045
normal_118,,test_128
normal_119,,test_011
normal_120,,test_085
normal_121,,test_064
normal_122,,test_010
normal_123,,test_055
normal_124,,test_101
normal_125,,test_130
normal_127,,test_005
normal_128,,test_025
normal_129,,test_107
normal_130,,test_087
normal_131,,test_020
normal_132,,test_068
normal_133,,test_080
normal_135,,test_040
normal_136,,test_069
normal_137,,test_123
normal_138,,test_041
normal_139,,test_021
normal_140,,test_065
normal_141,,test_111
normal_142,,test_022
