train,val,test
normal_001,normal_139,test_104
normal_002,normal_071,test_083
normal_003,normal_062,test_096
normal_004,normal_160,test_094
normal_005,normal_143,test_084
normal_006,normal_138,test_106
normal_007,normal_158,test_079
normal_008,normal_135,test_109
normal_009,normal_036,test_057
normal_010,normal_149,test_012
normal_011,normal_056,test_053
normal_012,normal_048,test_121
normal_013,normal_129,test_038
normal_014,normal_105,test_046
normal_015,normal_108,test_098
normal_016,normal_111,test_009
normal_017,tumor_088,test_125
normal_019,tumor_036,test_007
normal_021,tumor_105,test_089
normal_022,tumor_100,test_054
normal_023,tumor_085,test_036
normal_026,tumor_049,test_043
normal_027,tumor_069,test_017
normal_028,tumor_101,test_016
normal_029,tumor_029,test_033
normal_030,tumor_044,test_061
normal_031,tumor_014,test_058
normal_032,,test_095
normal_033,,test_014
normal_034,,test_110
normal_035,,test_031
normal_037,,test_003
normal_038,,test_059
normal_039,,test_117
normal_040,,test_047
normal_041,,test_082
normal_042,,test_093
normal_044,,test_091
normal_045,,test_029
normal_046,,test_019
normal_047,,test_072
normal_049,,test_122
normal_050,,test_006
normal_051,,test_052
normal_053,,test_076
normal_054,,test_103
normal_055,,test_028
normal_057,,test_086
normal_058,,test_090
normal_059,,test_074
normal_060,,test_099
normal_061,,test_129
normal_064,,test_070
normal_065,,test_008
normal_066,,test_105
normal_067,,test_119
normal_068,,test_035
normal_069,,test_037
normal_070,,test_002
normal_072,,test_024
normal_073,,test_018
normal_074,,test_060
normal_075,,test_078
normal_076,,test_034
normal_077,,test_023
normal_078,,test_127
normal_079,,test_001
normal_080,,test_004
normal_081,,test_042
normal_082,,test_075
normal_083,,test_066
normal_084,,test_118
normal_085,,test_056
normal_087,,test_116
normal_088,,test_015
normal_089,,test_048
normal_090,,test_071
normal_091,,test_051
normal_092,,test_067
normal_094,,test_100
normal_095,,test_114
normal_096,,test_097
normal_097,,test_081
normal_099,,test_032
normal_100,,test_092
normal_101,,test_108
normal_102,,test_062
normal_104,,test_120
normal_106,,test_073
normal_107,,test_102
normal_110,,test_045
normal_113,,test_128
normal_114,,test_011
normal_116,,test_085
normal_117,,test_064
normal_118,,test_010
normal_119,,test_055
normal_120,,test_101
normal_121,,test_130
normal_122,,test_005
normal_123,,test_025
normal_124,,test_107
normal_125,,test_087
normal_126,,test_020
normal_127,,test_068
normal_128,,test_080
normal_130,,test_040
normal_131,,test_069
normal_133,,test_123
normal_134,,test_041
normal_136,,test_021
